Orthogroup	MHP_MHP650_protein	MHP_MHP653_protein
OG0000000	WP_160600904.1	WP_160615548.1
OG0000000	WP_160601110.1	WP_146379632.1
OG0000000	WP_160600906.1	WP_160615550.1
OG0000001	WP_220200909.1	WP_160615980.1
OG0000001	WP_308704766.1	WP_160615810.1
OG0000002	WP_308704751.1	WP_308507024.1
OG0000002	WP_258556709.1	WP_258555933.1
OG0000003	WP_258556712.1	WP_225972977.1
OG0000004	WP_258556714.1	WP_258555965.1
OG0000005	WP_308704769.1	WP_240532016.1
OG0000005	WP_233688764.1	WP_308507040.1
OG0000006	WP_160601233.1	WP_160615935.1
OG0000006	WP_220200910.1	WP_160615933.1
OG0000007	WP_308704771.1, WP_308704770.1	WP_308507049.1
OG0000009	WP_160600719.1	WP_160615971.1
OG0000009	WP_160600717.1	WP_160615730.1
OG0000010	WP_011206342.1	WP_258555925.1
OG0000010	WP_258556637.1	WP_258555625.1
OG0000013	WP_228366101.1	WP_258555632.1
OG0000013	WP_258556694.1	WP_258555963.1
OG0000015	WP_308704768.1	WP_308507036.1
OG0000016	WP_160600708.1	WP_160615728.1
OG0000018	WP_160600794.1	WP_160615609.1
OG0000019	WP_160601189.1	WP_160585747.1, WP_160615838.1
OG0000022	WP_258556707.1	WP_258555932.1
OG0000024	WP_160600866.1	WP_160584690.1
OG0000025	WP_258555619.1	WP_258555923.1
OG0000026	WP_160600723.1	WP_160615890.1
OG0000029	WP_160601259.1	WP_160615671.1
OG0000030	WP_160601045.1	WP_308507043.1
OG0000031	WP_014579531.1	WP_160584826.1
OG0000033	WP_225973034.1	WP_225973034.1
OG0000034	WP_160600727.1	WP_011206291.1
OG0000035	WP_160601010.1	WP_258555938.1
OG0000036	WP_160600725.1	WP_160585159.1
OG0000038	WP_232039589.1	WP_011290019.1
OG0000038	WP_220200864.1	WP_258555945.1
OG0000039	WP_160587914.1	WP_011206214.1
OG0000040	WP_160601152.1	WP_011206223.1
OG0000041	WP_308704755.1	WP_220191323.1
OG0000042	WP_160600812.1	WP_160615967.1
OG0000043	WP_160600806.1	WP_011290432.1
OG0000044	WP_160601022.1	WP_160615941.1
OG0000045	WP_160601112.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_228365394.1
OG0000048	WP_011206374.1	WP_160615657.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_135619210.1	WP_044272532.1
OG0000052	WP_160600721.1	WP_160615892.1
OG0000053	WP_002557698.1	WP_160615597.1
OG0000054	WP_011206420.1	WP_020835862.1
OG0000055	WP_160588054.1	WP_160615587.1
OG0000056	WP_160601125.1	WP_160615899.1
OG0000057	WP_011206089.1	WP_160615784.1
OG0000058	WP_135618593.1	WP_135618593.1
OG0000059	WP_011206057.1	WP_160615806.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_160600998.1	WP_160615750.1
OG0000063	WP_160600703.1	WP_052259122.1
OG0000064	WP_160600651.1	WP_160615537.1
OG0000065	WP_014579568.1	WP_014579568.1
OG0000066	WP_160601219.1	WP_160615512.1
OG0000067	WP_160600739.1	WP_011206493.1
OG0000068	WP_160601213.1	WP_258555910.1
OG0000069	WP_160600955.1	WP_020835790.1
OG0000070	WP_160600966.1	WP_160608044.1
OG0000071	WP_160600769.1	WP_044272563.1
OG0000072	WP_160601175.1	WP_160615918.1
OG0000073	WP_011206314.1	WP_011206314.1
OG0000074	WP_258556626.1, WP_258556625.1	WP_258555814.1
OG0000075	WP_160600862.1	WP_258555929.1
OG0000076	WP_160600876.1	WP_308507041.1
OG0000077	WP_160600689.1	WP_160615521.1
OG0000078	WP_308704765.1	WP_308507003.1
OG0000079	WP_220200855.1	WP_220191256.1
OG0000080	WP_160600916.1	WP_160615559.1
OG0000081	WP_014579823.1	WP_160585593.1
OG0000082	WP_160600917.1	WP_160615561.1
OG0000083	WP_160601154.1	WP_160615563.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_160601150.1	WP_160615564.1
OG0000086	WP_160601147.1	WP_160615566.1
OG0000087	WP_220200893.1	WP_220191257.1
OG0000088	WP_160601142.1	WP_020835732.1
OG0000089	WP_020835733.1	WP_020835733.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_011283836.1	WP_146379447.1
OG0000092	WP_011283835.1	WP_094521535.1
OG0000093	WP_160600824.1	WP_011289935.1
OG0000094	WP_160600822.1	WP_160615746.1
OG0000095	WP_011205849.1	WP_011205849.1
OG0000096	WP_160600820.1	WP_160584854.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_020835484.1	WP_160584856.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_160600818.1	WP_160615744.1
OG0000101	WP_160584860.1	WP_160584860.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_011206529.1	WP_160615742.1
OG0000104	WP_160585758.1	WP_160584865.1
OG0000105	WP_146379771.1	WP_258555934.1
OG0000106	WP_160590174.1	WP_160615738.1
OG0000107	WP_160600816.1	WP_146379769.1
OG0000108	WP_160588098.1	WP_160588098.1
OG0000109	WP_041361715.1	WP_041361715.1
OG0000110	WP_011290440.1	WP_160615736.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_135619192.1	WP_020835678.1
OG0000113	WP_160601016.1	WP_160615772.1
OG0000114	WP_160601018.1	WP_160615774.1
OG0000115	WP_160601114.1	WP_160615871.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_011284163.1	WP_160615869.1
OG0000118	WP_160588282.1	WP_011206242.1
OG0000119	WP_011206243.1	WP_011206243.1
OG0000120	WP_011284167.1	WP_135618884.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_011206247.1	WP_308507045.1
OG0000123	WP_160601201.1	WP_146379648.1
OG0000124	WP_258556696.1	WP_225972982.1
OG0000125	WP_160601197.1	WP_146379646.1
OG0000126	WP_258556695.1	WP_258555931.1
OG0000127	WP_011206271.1	WP_160615722.1
OG0000128	WP_160601227.1	WP_020835765.1
OG0000129	WP_258555507.1	WP_258555964.1
OG0000130	WP_011290245.1	WP_011290245.1
OG0000131	WP_011205977.1	WP_160615718.1
OG0000132	WP_160600860.1	WP_160615716.1
OG0000133	WP_160600858.1	WP_160615714.1
OG0000134	WP_258556636.1	WP_160615712.1
OG0000135	WP_135618680.1	WP_020835635.1
OG0000136	WP_011284023.1	WP_308507037.1
OG0000137	WP_160600850.1	WP_160615708.1
OG0000138	WP_160600848.1	WP_020835639.1
OG0000139	WP_160600846.1	WP_011205965.1
OG0000140	WP_160600844.1	WP_160585676.1
OG0000141	WP_044284614.1	WP_220191285.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_020835645.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_160600842.1	WP_011290118.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_146379560.1	WP_011290120.1
OG0000149	WP_160600838.1	WP_160615661.1
OG0000150	WP_011290122.1	WP_011290122.1
OG0000151	WP_160600836.1	WP_160615665.1
OG0000152	WP_160600834.1	WP_160585820.1
OG0000153	WP_160600832.1	WP_014579732.1
OG0000154	WP_160600830.1	WP_160590276.1
OG0000155	WP_160600828.1	WP_011284046.1
OG0000156	WP_146379566.1	WP_146379566.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_094521636.1	WP_094521636.1
OG0000159	WP_160601065.1	WP_014579586.1
OG0000160	WP_160601069.1	WP_160615951.1
OG0000161	WP_011206123.1	WP_094521764.1
OG0000162	WP_308704761.1	WP_308507044.1
OG0000163	WP_160601071.1	WP_160615852.1
OG0000164	WP_011206120.1	WP_160585148.1
OG0000165	WP_135618546.1	WP_135618546.1
OG0000166	WP_160601073.1	WP_160615854.1
OG0000167	WP_160601075.1	WP_160615856.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160601207.1	WP_160615931.1
OG0000170	WP_160584793.1	WP_160584793.1
OG0000171	WP_011206102.1	WP_011290017.1
OG0000172	WP_011206101.1	WP_160584795.1
OG0000173	WP_160600792.1	WP_011290345.1
OG0000174	WP_160600791.1	WP_160615645.1
OG0000175	WP_160600789.1	WP_011284286.1
OG0000176	WP_011206391.1	WP_011206391.1
OG0000177	WP_011206390.1	WP_160584967.1
OG0000178	WP_160600787.1	WP_160615647.1
OG0000179	WP_044284693.1	WP_160590161.1
OG0000180	WP_011206385.1	WP_160615649.1
OG0000181	WP_160600783.1	WP_011206384.1
OG0000182	WP_011284277.1	WP_020835840.1
OG0000183	WP_160600779.1	WP_135619012.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_160600777.1	WP_160615653.1
OG0000186	WP_011284272.1	WP_146379689.1
OG0000187	WP_160600775.1	WP_135619006.1
OG0000188	WP_160600771.1	WP_160615659.1
OG0000189	WP_160600765.1	WP_020835828.1
OG0000190	WP_160600763.1	WP_020835827.1
OG0000191	WP_160600761.1	WP_160615699.1
OG0000192	WP_011206345.1	WP_011206345.1
OG0000193	WP_160601235.1	WP_160615693.1
OG0000194	WP_011206337.1	WP_020835820.1
OG0000195	WP_160601026.1	WP_160615691.1
OG0000196	WP_160601028.1	WP_011206335.1
OG0000197	WP_160601030.1	WP_020835818.1
OG0000198	WP_160601032.1	WP_160615687.1
OG0000199	WP_011206289.1	WP_011206289.1
OG0000200	WP_011284209.1	WP_160590318.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_020835662.1	WP_020835662.1
OG0000203	WP_011290137.1	WP_011284063.1
OG0000204	WP_160601269.1	WP_146379571.1
OG0000205	WP_014579804.1	WP_160585024.1
OG0000206	WP_044284644.1	WP_160585022.1
OG0000207	WP_011206197.1	WP_146379611.1
OG0000208	WP_160600898.1	WP_146379610.1
OG0000209	WP_160600902.1	WP_011206200.1
OG0000210	WP_160600910.1	WP_160615554.1
OG0000211	WP_160600914.1	WP_160590031.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160587908.1	WP_160585173.1
OG0000214	WP_135619057.1	WP_044272610.1
OG0000215	WP_050195447.1	WP_146379717.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_160600927.1	WP_011290368.1
OG0000218	WP_160600929.1	WP_160615593.1
OG0000219	WP_160600931.1	WP_160615585.1
OG0000220	WP_160600933.1	WP_135619070.1
OG0000221	WP_160600935.1	WP_160615583.1
OG0000222	WP_160600939.1	WP_146379725.1
OG0000223	WP_014579977.1	WP_160585273.1
OG0000224	WP_020835878.1	WP_044272620.1
OG0000225	WP_160600941.1	WP_160615581.1
OG0000226	WP_160600943.1	WP_160590183.1
OG0000227	WP_160600945.1	WP_160585638.1
OG0000228	WP_160600947.1	WP_160615579.1
OG0000229	WP_160601136.1	WP_160585796.1
OG0000230	WP_011206453.1	WP_011284337.1
OG0000231	WP_160601138.1	WP_160585802.1
OG0000232	WP_160601130.1	WP_160615901.1
OG0000233	WP_160601129.1	WP_160606868.1
OG0000234	WP_160601127.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160601123.1	WP_160615897.1
OG0000237	WP_011206469.1	WP_160615907.1
OG0000238	WP_135619119.1	WP_160585238.1
OG0000239	WP_011206467.1	WP_160615905.1
OG0000240	WP_011290399.1	WP_146379741.1
OG0000241	WP_020835897.1	WP_020835897.1
OG0000242	WP_160601173.1	WP_160615916.1
OG0000243	WP_146379568.1	WP_160615667.1
OG0000244	WP_160601247.1	WP_020835656.1
OG0000245	WP_011284053.1	WP_011290131.1
OG0000246	WP_160601245.1	WP_135618720.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_160601243.1	WP_011284056.1
OG0000249	WP_160601241.1	WP_011205932.1
OG0000250	WP_160601185.1	WP_160615909.1
OG0000251	WP_011206256.1	WP_160615911.1
OG0000252	WP_258556689.1	WP_160588285.1
OG0000253	WP_135619204.1	WP_020835755.1
OG0000254	WP_011284001.1	WP_011205992.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_160590375.1	WP_160585563.1
OG0000257	WP_094521582.1	WP_011290023.1
OG0000258	WP_094521583.1	WP_160615782.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_020835572.1
OG0000261	WP_228729168.1	WP_179695841.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_160600868.1	WP_011206085.1
OG0000266	WP_160600870.1	WP_014579644.1
OG0000267	WP_160600872.1	WP_160606653.1
OG0000268	WP_160600874.1	WP_011283934.1
OG0000269	WP_011283936.1	WP_146379503.1
OG0000270	WP_020835579.1	WP_160584803.1
OG0000271	WP_160600878.1	WP_146379504.1
OG0000272	WP_308704756.1	WP_011206073.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_014579633.1	WP_160615804.1
OG0000275	WP_014579632.1	WP_160584811.1
OG0000276	WP_011206068.1	WP_160584813.1
OG0000277	WP_011206067.1	WP_160584816.1
OG0000278	WP_160600886.1	WP_011290044.1
OG0000279	WP_160600888.1	WP_011206065.1
OG0000280	WP_160600890.1	WP_011206064.1
OG0000281	WP_011283951.1	WP_011206063.1
OG0000282	WP_011290046.1	WP_135618591.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_011283958.1	WP_160615808.1
OG0000285	WP_044284597.1	WP_135618604.1
OG0000286	WP_011206050.1	WP_011290054.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_011283963.1	WP_160585195.1
OG0000290	WP_160601104.1	WP_011206047.1
OG0000291	WP_014579616.1	WP_160585193.1
OG0000292	WP_011206044.1	WP_160585731.1
OG0000293	WP_011206042.1	WP_011290058.1
OG0000294	WP_220200886.1	WP_011206041.1
OG0000295	WP_011206040.1	WP_135618616.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_160601098.1	WP_160615864.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011206031.1	WP_011290064.1
OG0000302	WP_094521599.1	WP_160615866.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_014579605.1	WP_011206027.1
OG0000305	WP_014579604.1	WP_050195474.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_011290067.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_011290071.1	WP_146379528.1
OG0000310	WP_160601002.1	WP_160615748.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_160601000.1	WP_044284602.1
OG0000313	WP_044284822.1	WP_160615752.1
OG0000314	WP_011283987.1	WP_160584678.1
OG0000315	WP_020835611.1	WP_160615754.1
OG0000316	WP_160600997.1	WP_011283989.1
OG0000317	WP_160600995.1	WP_160615756.1
OG0000318	WP_160600993.1	WP_011206006.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_011206003.1	WP_160615758.1
OG0000321	WP_160600989.1	WP_160615760.1
OG0000322	WP_160600987.1	WP_160590263.1
OG0000323	WP_160600796.1	WP_146379700.1
OG0000324	WP_011206400.1	WP_020835851.1
OG0000325	WP_014579953.1	WP_160615607.1
OG0000326	WP_011206402.1	WP_044272588.1
OG0000327	WP_160600798.1	WP_020835854.1
OG0000328	WP_011206404.1	WP_146379703.1
OG0000329	WP_160600800.1	WP_160615603.1
OG0000330	WP_011206408.1	WP_146379707.1
OG0000331	WP_011284299.1	WP_011284299.1
OG0000332	WP_050195463.1	WP_258555948.1
OG0000333	WP_160600647.1	WP_160615834.1
OG0000334	WP_160600649.1	WP_308507025.1
OG0000335	WP_228365403.1	WP_020835500.1
OG0000336	WP_160600653.1	WP_160585547.1
OG0000337	WP_011205875.1	WP_011289957.1
OG0000338	WP_160600657.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_014579544.1	WP_146379462.1
OG0000341	WP_160600661.1	WP_146379463.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_011289964.1	WP_160589983.1
OG0000344	WP_160600663.1	WP_044284571.1
OG0000345	WP_160600665.1	WP_160589986.1
OG0000346	WP_160600667.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_160600669.1	WP_020835512.1
OG0000349	WP_011205891.1	WP_160615529.1
OG0000350	WP_160600671.1	WP_014579553.1
OG0000351	WP_160600673.1	WP_020835515.1
OG0000352	WP_011289973.1	WP_011289973.1
OG0000353	WP_011283871.1	WP_011289974.1
OG0000354	WP_187286314.1	WP_020835518.1
OG0000355	WP_160600675.1	WP_011289976.1
OG0000356	WP_160600677.1	WP_011289977.1
OG0000357	WP_160600679.1	WP_135618505.1
OG0000358	WP_220200824.1	WP_220191250.1
OG0000359	WP_160600683.1	WP_011289981.1
OG0000360	WP_011283879.1	WP_146379471.1
OG0000361	WP_160600685.1	WP_160615525.1
OG0000362	WP_160600687.1	WP_160615523.1
OG0000363	WP_014579569.1	WP_135618519.1
OG0000364	WP_160600693.1	WP_160607908.1
OG0000365	WP_011283885.1	WP_011283885.1
OG0000366	WP_011205916.1	WP_011283887.1
OG0000367	WP_160600699.1	WP_044284579.1
OG0000368	WP_011205921.1	WP_258555899.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_014579577.1	WP_146379477.1
OG0000371	WP_011283894.1	WP_160615515.1
OG0000372	WP_160601215.1	WP_011283896.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_160600804.1	WP_160590360.1
OG0000375	WP_160600753.1	WP_160615634.1
OG0000376	WP_160600751.1	WP_160615632.1
OG0000377	WP_011284373.1	WP_146379758.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220200832.1	WP_220191147.1
OG0000380	WP_160600745.1	WP_160590207.1
OG0000381	WP_308704753.1	WP_308507031.1
OG0000382	WP_160600741.1	WP_160600741.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_011290418.1
OG0000385	WP_135619140.1	WP_011206490.1
OG0000386	WP_014580012.1	WP_011290416.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160600735.1	WP_160615626.1
OG0000389	WP_160584907.1	WP_014580009.1
OG0000390	WP_014580008.1	WP_011206484.1
OG0000391	WP_160600733.1	WP_160615625.1
OG0000392	WP_160600731.1	WP_160615623.1
OG0000393	WP_146379652.1	WP_160615969.1
OG0000394	WP_011206297.1	WP_160585766.1
OG0000395	WP_160600959.1	WP_160615882.1
OG0000396	WP_020835793.1	WP_160615884.1
OG0000397	WP_160600962.1	WP_160615886.1
OG0000398	WP_135618967.1	WP_160590123.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_160615820.1
OG0000401	WP_094521723.1	WP_160615822.1
OG0000402	WP_160600980.1	WP_160615824.1
OG0000403	WP_011206315.1	WP_160615826.1
OG0000404	WP_160600976.1	WP_160615828.1
OG0000405	WP_160600974.1	WP_160615830.1
OG0000406	WP_160585762.1	WP_160585762.1
OG0000407	WP_160600968.1	WP_044272552.1
