Orthogroup	MHP_MHP650_protein	MHP_REF_protein
OG0000000	WP_160600904.1, WP_160601110.1, WP_160600906.1	WP_044272461.1
OG0000001	WP_220200909.1, WP_237697199.1, WP_308704766.1	WP_044272444.1
OG0000002	WP_308704751.1, WP_258556709.1	WP_228366099.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000035	WP_160601010.1	WP_044272427.1
OG0000043	WP_160600806.1	WP_011290432.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_011206374.1	WP_044272567.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011206089.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_011290048.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000062	WP_160600998.1	WP_020835608.1
OG0000063	WP_160600703.1	WP_014579535.1
OG0000067	WP_160600739.1	WP_011206493.1
OG0000068	WP_160601213.1	WP_020835906.1
OG0000069	WP_160600955.1	WP_044272542.1
OG0000071	WP_160600769.1	WP_044272563.1
OG0000072	WP_160601175.1	WP_044272653.1
OG0000076	WP_160600876.1	WP_228366125.1
OG0000236	WP_160601123.1	WP_044272642.1
OG0000503	WP_011206393.1	WP_228366107.1
OG0000545	WP_258556706.1	WP_011290141.1
OG0000559	WP_160601038.1	WP_011290306.1
OG0000623	WP_220200875.1	WP_052269171.1
OG0000642	WP_146379617.1	WP_187145663.1
