Orthogroup	MHP_REF_protein	MFC_ATCC27716_protein
OG0000000	WP_044272461.1	WP_039387558.1, WP_002557520.1, WP_002557686.1, WP_002557687.1
OG0000001	WP_044272444.1	WP_039387603.1
OG0000002	WP_228366099.1	WP_051054340.1, WP_002557887.1, WP_002557975.1
OG0000031	WP_011205867.1	WP_323749063.1, WP_002557874.1
OG0000035	WP_044272427.1	WP_002557996.1
OG0000043	WP_011290432.1	WP_002557496.1
OG0000047	WP_225972996.1	WP_002557611.1
OG0000048	WP_044272567.1	WP_002557625.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_002557776.1
OG0000058	WP_011290048.1	WP_002557805.1
OG0000060	WP_011290055.1	WP_002557818.1
OG0000062	WP_020835608.1	WP_002557847.1
OG0000063	WP_014579535.1	WP_002557882.1
OG0000067	WP_011206493.1	WP_002557957.1
OG0000068	WP_020835906.1	WP_002557969.1
OG0000069	WP_044272542.1	WP_002557977.1
OG0000071	WP_044272563.1	WP_039387523.1
OG0000072	WP_044272653.1	WP_039387700.1
OG0000076	WP_228366125.1	WP_231237874.1
OG0000236	WP_044272642.1	WP_002557737.1
OG0000503	WP_228366107.1	WP_002557605.1
OG0000545	WP_011290141.1	WP_002557598.1
OG0000556	WP_044272437.1	WP_039387482.1
