Orthogroup	MHP_TB1_protein	MHP_REF_protein
OG0000000	WP_014579809.1, WP_014579826.1, WP_252862134.1, WP_088764586.1	WP_044272461.1
OG0000001	WP_252862215.1	WP_044272444.1
OG0000002	WP_252862122.1, WP_252862184.1	WP_228366099.1
OG0000031	WP_014579531.1	WP_011205867.1
OG0000035	WP_014579762.1	WP_044272427.1
OG0000043	WP_014580027.1	WP_011290432.1
OG0000047	WP_044278029.1	WP_225972996.1
OG0000048	WP_252862148.1	WP_044272567.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011206089.1	WP_011290028.1
OG0000058	WP_014579626.1	WP_011290048.1
OG0000060	WP_014579617.1	WP_011290055.1
OG0000062	WP_252862167.1	WP_020835608.1
OG0000063	WP_014579535.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_088764582.1	WP_020835906.1
OG0000069	WP_014579888.1	WP_044272542.1
OG0000071	WP_014579934.1	WP_044272563.1
OG0000072	WP_044278039.1	WP_044272653.1
OG0000076	WP_228365410.1	WP_228366125.1
OG0000236	WP_014579992.1	WP_044272642.1
OG0000503	WP_014579949.1	WP_228366107.1
OG0000545	WP_014579771.1	WP_011290141.1
OG0000556	WP_014579750.1	WP_044272437.1
OG0000559	WP_014579915.1	WP_011290306.1
OG0000623	WP_052293597.1	WP_052269171.1
